gene	log2FoldChange	padj
Gene01	0.29269299	0.351950717
Gene02	0.336056446	0.332439904
Gene03	0.060054643	0.853191964
Gene04	0.081749141	0.770281584
Gene05	0.072646876	0.647314162
Gene06	0.285529767	0.651003358
Gene07	0.340626773	0.539228156
Gene08	0.004378707	0.993982319
Gene09	0.074561085	0.918093881
Gene10	0.071408647	0.867702814
Gene11	0.100681426	0.854236345
Gene12	0.704673165	0.08213625
Gene13	0.992006099	2.93E-02
Gene14	0.959131474	0.160439174
Gene15	0.685346846	0.229718674
Gene16	1.356533505	4.59E-02
Gene17	0.007126911	0.991055869
Gene18	0.154570722	0.591425847
Gene19	0.402580411	0.297171071
Gene20	0.764973947	0.075264329
Gene21	0.494181297	0.875755844
Gene22	0.287258922	0.255132203
Gene23	0.123354021	0.459552349
Gene24	0.076563834	0.971782274
Gene25	1.330922635	0.006823695
Gene26	0.327198383	0.190780862
Gene27	0.093090092	0.887768698
Gene28	0.083911924	7.43E-01
Gene29	0.429628566	0.266862298
Gene30	0.594721902	0.096198498
Gene31	0.355374591	0.197986568
Gene32	0.387485259	5.99E-01
Gene33	0.260644977	0.383543351
Gene34	0.019609916	0.951023572
Gene35	0.357587277	0.506126376
Gene36	0.905299934	0.0388128
Gene37	0.096457298	0.752742324
Gene38	1.233479436	0.051632416
Gene39	0.936371762	0.653078216
Gene40	0.696336201	2.22E-03
Gene41	0.474287203	0.175397249
Gene42	0.006462146	0.982643585
Gene43	0.614454025	0.069749874
Gene44	0.330799166	0.194388805
Gene45	0.154005604	6.62E-01
Gene46	0.654902989	0.233849872
Gene47	0.221583801	0.569204957
Gene48	0.206719315	0.428661387
Gene49	1.233887432	0.205735053
Gene50	0.357879259	0.209235883
Gene51	0.039103825	0.912524464
Gene52	0.371626726	0.184785832
Gene53	0	1
Gene54	1.93E-05	0.99998623
Gene55	0.217212656	0.476292767
Gene56	0.314376213	0.54090719
Gene57	1.236941976	0.150460099
Gene58	0.113336046	0.773984633
Gene59	1.647111409	0.002230183
Gene60	0.006800025	0.960986938
Gene61	0.101803225	0.58688299
Gene62	1.157996535	0.169791516
Gene63	0.860802123	0.109112702
Gene64	0.100702953	0.588078494
Gene65	0.107542182	0.661048101
Gene66	0.231214211	0.678582329
Gene67	0.077359093	0.804110894
Gene68	0.338338129	0.510380327
Gene69	0.187507463	0.885232105
Gene70	3.098858848	0.044720377
Gene71	0.04921622	0.859131696
Gene72	0.325618703	0.175440454
Gene73	0.168658314	0.858410306
Gene74	0.013746545	0.96296176
Gene75	0.526821349	0.059121034
Gene76	0.982598693	0.08520802
Gene77	0.3232302	6.13E-01
Gene78	0.284163576	0.223243319
Gene79	0.124118186	0.689749495
Gene80	0.111164536	0.673107759
Gene81	0.686774644	0.036110313
Gene82	0.219330161	0.491082989
