"","CCL21","IGFBP6","MMP7","LOC441763","KRT7","TMEM158","PRKCDBP","MYH11","PPP1R14A","ZIC2","GCUD2","UBA6","MYB","FLJ20273","PTMA","PBK","SLC12A2","SMARCAD1","MAD2L1","KLF5"
"GSM2235556",6.513434,9.631472,9.011758,11.558117,6.08178,11.295508,9.778337,11.88753,12.050958,5.874646,6.384723,8.180979,9.191068,8.595985,8.479335,7.759182,8.432235,8.528281,6.635499,6.883194
"GSM2235557",9.112582,11.186781,12.384619,10.283608,12.318031,10.629358,11.487182,11.914801,8.798905,7.272854,6.268608,7.388231,9.219259,8.570037,9.265401,7.280285,7.026519,7.92511,6.501929,6.261719
"GSM2235558",8.802619,9.866587,13.044805,11.415105,8.086683,10.750356,11.742339,14.198791,11.483212,8.879141,5.8435,7.297522,10.224693,8.754148,9.96882,7.36392,9.675273,7.646149,6.324613,7.887399
"GSM2235559",9.174393,9.673667,12.596247,12.496858,13.365237,11.718297,10.570246,12.273726,10.180135,5.988147,6.377612,7.736333,8.857662,8.329193,8.90162,6.416012,8.738733,8.219242,6.339939,6.984392
"GSM2235560",9.033568,11.204261,9.682779,10.980482,9.914753,10.084125,11.93024,14.352066,11.75481,6.194537,6.150009,7.957055,10.243641,8.914464,9.927717,7.767402,10.082308,8.079214,6.754082,6.829152
"GSM2235561",9.30624,11.104253,12.720841,10.60821,10.941507,11.472783,11.759712,12.954449,9.765675,8.888853,6.386352,7.487024,9.606965,8.357871,9.840891,8.720002,9.815722,7.889503,8.090308,6.973153
"GSM2235562",6.871082,9.606385,8.082917,10.63327,10.956527,11.131051,9.983871,11.287794,9.222105,9.65973,6.894435,7.834823,11.174072,9.400623,9.782834,9.243757,9.589878,8.546406,7.804822,8.06363
"GSM2235563",7.415325,10.086479,13.783078,10.878887,10.655385,10.540609,10.32586,13.609185,10.770404,11.127863,6.857726,8.981848,11.262064,8.119514,10.001402,7.71146,8.693261,7.996116,7.519137,6.778051
"GSM2235564",7.421018,7.597563,10.22078,10.76786,11.027206,9.933588,10.063683,9.087035,8.653808,6.444059,7.736333,8.526284,10.521565,8.87616,9.712324,8.154155,9.085653,7.902532,8.184746,8.464888
"GSM2235565",8.863989,9.914753,12.121303,10.811719,9.531688,10.224058,11.671846,14.555408,12.439968,6.006837,6.192707,8.081758,8.345977,7.744635,10.110276,7.402262,10.301198,7.894207,6.207815,7.275155
"GSM2235567",10.605895,11.276553,10.384515,10.589594,10.322408,11.564762,11.656327,14.391595,12.067725,7.168512,6.336101,7.931609,8.915326,9.197951,9.701376,7.768119,9.063728,7.616765,7.014423,7.370888
"GSM2235568",6.164017,8.570037,9.139257,12.209033,10.798719,10.703904,11.002751,11.421042,10.570993,6.154562,7.761711,8.634981,9.775057,9.06328,9.612813,8.110244,6.424161,7.898517,6.31227,8.377722
"GSM2235569",7.153548,8.526673,7.27418,10.985255,9.307239,11.360069,10.109,9.210879,8.270123,6.260952,7.700493,8.527472,11.385123,9.691449,10.589594,9.401125,10.042791,8.366637,8.716299,8.32727
"GSM2235570",9.95291,10.004447,12.230272,11.616536,10.565696,12.062051,11.264308,11.544732,9.593048,5.928651,7.186255,7.920381,8.449266,8.720842,10.008191,9.00259,9.011292,8.037685,7.538748,8.095859
"GSM2235571",8.78403,9.004718,7.24797,9.903713,10.878887,11.889134,10.575729,9.55222,9.422441,5.753682,7.52776,8.893897,10.486214,9.346998,10.231939,8.790209,8.38676,8.156437,8.088845,7.861354
"GSM2235572",9.511081,9.864792,13.944233,10.215588,6.344555,9.488549,11.967907,14.304574,11.432263,6.69104,6.395447,8.660169,9.169348,8.203407,10.54215,8.06363,8.694447,7.753461,6.682338,7.676343
"GSM2235574",8.835048,11.114549,13.475041,10.57956,8.248427,12.987759,11.640544,13.683923,9.652781,9.989263,5.886495,7.790585,9.9996,8.422505,8.947443,7.489411,8.949598,8.133651,7.630042,6.826787
"GSM2235575",5.915834,8.065493,11.862444,10.649899,6.397538,10.071084,9.32937,8.589219,9.30913,10.297869,5.84072,6.538681,11.278819,8.27051,8.660966,7.483886,8.446189,7.889503,8.577245,6.10223
"GSM2235576",7.697998,10.694973,11.150616,9.729699,8.680623,9.733588,9.692558,10.016882,8.147018,6.130004,6.027857,7.73597,10.352021,8.507122,8.841342,8.585202,8.72443,8.254427,9.074433,7.522224
"GSM2235577",9.086547,11.500037,13.017975,10.400838,11.334638,12.45959,12.012711,14.131324,10.359669,8.180622,6.309157,7.190035,9.659188,8.419823,8.736655,7.542127,9.785101,8.394112,7.89924,6.664676
"GSM2235578",7.780658,9.220672,7.659586,10.451101,6.853675,11.909757,9.978418,11.847936,8.89307,9.369271,5.698781,6.722471,11.867397,9.106581,9.65495,9.974211,10.071752,8.43849,8.932828,6.831315
"GSM2235579",8.455881,14.293276,10.49973,9.97667,8.084833,12.342963,11.332376,12.805593,9.172067,7.585024,5.865535,7.647222,8.667748,7.39861,9.131507,8.311729,7.963336,7.842463,8.60833,6.071788
"GSM2235580",9.690378,10.388715,13.006476,9.846514,10.327911,11.591576,11.619298,13.52533,10.109623,9.728045,5.937758,7.186898,10.201573,8.045314,8.974347,7.120983,9.133368,7.830174,7.66276,7.223033
"GSM2235582",8.051965,10.095876,12.256163,10.459782,8.26897,10.948019,10.061867,13.224507,9.814068,10.952852,5.738306,8.215435,10.789331,8.842172,9.178045,7.42169,11.14443,8.4594,7.338531,7.52882
"GSM2235584",8.149684,9.856137,10.433872,11.027206,9.527607,11.966157,10.63327,12.908113,9.624589,7.187866,6.4258,7.52776,10.227999,9.492072,9.169348,7.824444,10.221422,8.054497,7.593765,6.937433
"GSM2235585",7.732771,9.431788,13.815676,9.678997,7.131695,10.564936,9.550698,11.009542,8.162441,7.586406,6.07977,7.046573,9.590425,8.793101,8.728088,7.660288,9.119787,8.433417,8.143681,6.90577
"GSM2235587",8.800511,10.304511,13.025635,10.34919,12.67065,12.123162,10.958453,13.145823,9.789567,6.171607,6.275504,7.237058,10.839806,8.654578,9.229172,8.354031,10.321745,8.166915,8.288173,7.206136
"GSM2235588",8.183592,10.61763,13.46554,10.406614,9.616052,10.263619,11.501346,14.378142,11.539551,7.278649,5.757108,6.582749,10.010015,8.089601,9.331871,7.166012,9.481474,7.974645,7.801937,6.864178
"GSM2235595",10.519353,9.685545,9.92128,11.597023,8.06363,11.290019,10.63165,13.224507,8.998643,9.980223,6.335417,7.835929,11.488435,9.227767,10.380854,8.004642,11.085778,8.128084,7.134224,7.919674
"GSM2235596",8.663748,9.646507,8.793511,10.202858,7.399254,10.960356,10.373872,12.149542,9.107061,6.079968,6.869787,8.154896,8.625825,9.125197,9.962937,9.214118,8.474589,8.53266,8.933725,7.213491
"GSM2235597",7.653602,8.162811,6.490088,11.107351,6.351117,10.44827,9.386078,9.757353,8.641776,10.212427,7.465006,8.475002,11.945505,8.75376,10.215588,9.720459,11.770522,8.556482,9.030023,7.742847
"GSM2235598",11.338135,9.444948,10.707191,10.466361,6.904932,11.646317,10.890735,13.509656,9.818015,9.955865,6.037393,8.169872,9.504928,8.18026,9.766223,7.681323,9.364326,8.238714,6.781105,7.377161
"GSM2235599",7.905415,9.570086,12.352196,10.79701,10.441016,11.213811,10.68043,12.370647,9.499644,8.755371,7.270857,7.666906,9.547621,9.292371,10.030343,8.63739,9.252162,8.224492,7.78172,8.163538
"GSM2235601",9.422441,10.26697,12.347658,9.95291,10.198933,12.049153,11.037966,13.207533,9.706859,6.110322,6.571694,7.975029,10.428799,8.98539,10.168925,9.360382,10.054445,8.262287,7.525361,7.84609
"GSM2235602",10.470731,10.433872,11.523757,11.213811,6.674343,11.925201,11.405449,14.096706,10.683703,9.281905,6.114563,8.210562,11.477868,8.685896,9.83582,7.476381,11.215951,8.197463,6.581456,7.142357
"GSM2235603",7.547898,9.05967,12.42307,10.651448,6.468471,11.957563,11.011552,11.124783,9.535819,5.777684,7.494465,8.604729,10.753636,7.637101,9.963512,8.619036,7.873648,8.212879,7.660288,7.745341
"GSM2235605",9.751209,10.652976,9.865385,10.294522,10.622326,11.448368,10.433872,12.280061,9.117081,8.605548,6.695509,7.754875,9.514725,8.700548,10.187193,7.488715,10.695759,8.002402,7.331016,7.634996
"GSM2235607",6.885104,9.315401,13.869038,10.059996,12.043832,12.137264,11.630785,13.150041,10.087107,7.315819,6.338343,8.680623,8.587187,8.687088,10.152581,7.873648,9.402654,7.975388,7.860975,7.71252
"GSM2235609",8.588811,10.552027,12.958262,10.329295,9.349994,12.420722,11.165431,13.455966,9.885065,6.798002,6.381413,7.434814,9.702472,8.34484,10.177558,8.115467,9.750081,8.129554,7.568051,7.644378
"GSM2235610",8.453543,11.194364,11.214868,9.955865,8.535048,11.475289,11.443465,13.944233,10.855634,8.287441,6.355779,7.866737,8.012292,8.557679,10.202858,7.563803,9.526652,8.208731,7.461046,7.633589
"GSM2235611",7.769209,9.238994,12.67065,11.154768,10.808161,11.34381,10.310842,12.808821,9.328891,7.648636,6.260841,8.18026,10.46492,9.60153,10.045774,8.105385,9.272433,8.121369,7.903631,8.153025
"GSM2235612",9.359338,10.7113,12.792677,10.600413,9.698623,11.34381,11.269705,14.169123,11.775256,9.0197,6.066226,7.729478,8.503951,7.905777,10.325194,6.791583,9.96114,8.06143,6.538681,7.67529
