,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
A,1,0.5777095814048169,0.5192235696788134,-0.088175863,0.8861007321563079,0.6290203056954402,-0.129629899,0.583567487046144,0.5164270067071504,0.6713257899760431,-0.600587779,0.6024827774377832,0.13768525629052458,0.003525630735503993,0.7753999603061466
B,0.7293468166687733,1,-0.370820598,-0.529276013,0.5959149436629613,-0.444425234,-0.08643161,0.8468795734220016,0.8918042114486034,-0.092610057,0.5620166466910976,0.03227464857458187,-0.43239194,0.10742160572252363,-0.7684574067296203
C,-0.099815273,0.18946553470212696,1,-0.523553455,0.01701609222195971,0,-0.042123413,0.3858380416719808,0.05453304727435815,-0.169861498,0.6385217284357603,0.06759530188569146,0.6001005442063456,-0.7688104541180798,0.14566702602876125
D,0.03594833902421754,0.8311476015150354,0.7315459582030235,1,-0.564849683,0.09908750955896556,0.6213062058692891,0.537662795307424,0.5530981688971879,0.7264148841976306,-0.026242254,0.5796582926365544,0.8368092300047926,0.7920157266247274,-0.329738368
E,-0.002442514,0.5701321079557354,0.5367196263253767,0.5232774382033775,1,-0.678920031,-0.123635588,0.7446054843462722,0.6742691594711564,0.5110467087494819,0.19778298504432829,-0.020630343,-0.541682054,0.15510803950438395,-0.712522536
F,0.5203074124157587,0.8203797178729599,0.573146398842923,-0.637020547,0.7463404657559656,1,-0.751911724,0.06756962386523985,0.1533976089065036,-0.000322648,0.09766820922262492,0.3878147468456636,0,-0.358681828,0.7976170571996462
G,-0.759573337,0.028916987668335337,0.17425399768837901,0.7735855077592564,0.6245653237565176,0.532349186646879,1,0.021105986734195975,0.6734082950322968,0.5514001412935641,-0.625667006,0.7148329708786622,-0.520853273,0.142529716751237,-0.128470916
H,-0.005303139,0.7004159535661036,0.11413626044557745,-0.308915828,0.8282557902975822,0.8733745232317932,-0.669585413,1,0.6829060646454914,0.1708673369531927,0.5190864510766595,-0.381144947,-0.541124325,0.6595283605779179,-0.050925253
I,-0.067699878,0.5546485325768116,0.6679123425785106,0.19155714331000362,0.715750979360025,0.17605337698311135,-0.059968637,-0.077721192,1,0.2211279907631631,0.2775566418243028,-0.012022194,0.6312610669898928,0.028801679683673254,-0.69546419
J,-0.452093597,0.1812287388095813,-0.053412486,0.4227651908203117,0.6043574493366856,0.6769408918924418,-0.30187315,0.5777520135979493,0.7553082375373401,1,-0.077854456,-0.400827438,0.6753896492072348,-0.00588805,-0.005754499
K,-0.182558491,0.1921326334864183,-0.462154941,0.1624395150874216,0.6181162353675755,0.6086171663278968,-0.192769855,-0.601213989,0.5326376721600962,0.8546721549192191,1,0.13866445689532236,0.5061218161161539,0.7835643987640475,0.5020739451095947
L,0.6355734008277453,-0.398430122,0.14037137950700512,0.6858695251758445,0.8927363553242125,-0.705646446,0.5068644407327001,0.6306604967184164,-0.449821085,0.854646859580264,0.7798048843068776,1,-0.689879476,0.5375493160325167,-0.171833548
M,-0.395249477,0.5367518666865606,0.05804134481222595,0.6434587125184655,-0.503651638,-0.4521078,0.5634585790569964,0.7066785029706266,0.7511577659794544,0.5155338937717693,0.19782020431893643,0.8244816706944011,1,-0.317290324,0.8660854910505922
N,-0.30828843,-0.051086893,0.6587135308855554,0.873845598935884,0.6003442109386645,-0.724641228,0.7545614389784046,0.528376366799971,0.6645415620226715,0.573733469732548,-0.685724989,0.7628445314000667,0.6186040574591194,1,0.5553412369671206
O,-0.391784063,-0.660564324,0.7599094730571054,-0.615172772,-0.038196749,0.6016654596278955,0,-0.107925893,0.17200673392433274,0.08837596970085171,0.5480658591222569,-0.545900612,-0.076775683,0.877700638850067,1
