,spec01,spec02,spec03,spec04
A,0.2526346220568241,-0.246776723,-0.797382154,-0.86404773
B,-0.790716282,-0.772683655,-0.867064126,0.2969916454857029
C,0.41071971443398847,0.41046183783460255,0.011592767405975257,0.2677354388415496
D,-0.986090199,-0.474124552,0.31290018493681115,-0.982460724
E,-0.091000275,-0.74323345,-0.967768577,-0.230601927
F,-0.040491065,-0.432584249,-0.126447817,0.3050976736809572
G,-0.760402523,-0.193153362,-0.450400247,0.9002829736027624
H,-0.03961316,0.47079919533499437,-0.82978986,0.8579072958128302
I,0.00013265749815016825,-0.077920222,-0.657721737,0.13906284489731746
J,-0.261856952,-0.397645111,-0.4283188,0.17770234281696196
K,0.7925462803540102,0.3547401393279743,-0.065920072,0.9169375338107209
L,0.7321403351947584,-0.909346624,-0.775554952,-0.578746762
M,0.7810694426725333,-0.581587876,0.24068690046174446,0.018285770974107995
N,-0.510232894,0.3749401862176065,0.7575096189696204,-0.876912564
O,-0.948235281,0.5040938916892066,0.36795276121526954,0.5491925519840819
